constellation,constellationLabel,area,abbreviation,neighborConstellationsLabel
http://www.wikidata.org/entity/Q8667,Волопас,907,Boo,Дракон
http://www.wikidata.org/entity/Q8667,Волопас,907,Boo,Дева
http://www.wikidata.org/entity/Q8667,Волопас,907,Boo,Змея
http://www.wikidata.org/entity/Q8667,Волопас,907,Boo,Большая Медведица
http://www.wikidata.org/entity/Q8667,Волопас,907,Boo,Волосы Вероники
http://www.wikidata.org/entity/Q8667,Волопас,907,Boo,Северная Корона
http://www.wikidata.org/entity/Q8667,Волопас,907,Boo,Геркулес
http://www.wikidata.org/entity/Q8667,Волопас,907,Boo,Гончие Псы
http://www.wikidata.org/entity/Q8675,Дракон,1083,Dra,Волопас
http://www.wikidata.org/entity/Q8675,Дракон,1083,Dra,Жираф
http://www.wikidata.org/entity/Q8675,Дракон,1083,Dra,Большая Медведица
http://www.wikidata.org/entity/Q8675,Дракон,1083,Dra,Лебедь
http://www.wikidata.org/entity/Q8675,Дракон,1083,Dra,Геркулес
http://www.wikidata.org/entity/Q8675,Дракон,1083,Dra,Цефей
http://www.wikidata.org/entity/Q8675,Дракон,1083,Dra,Малая Медведица
http://www.wikidata.org/entity/Q8675,Дракон,1083,Dra,Лира
http://www.wikidata.org/entity/Q8679,Рыбы,889,Psc,Кит
http://www.wikidata.org/entity/Q8679,Рыбы,889,Psc,Пегас
http://www.wikidata.org/entity/Q8679,Рыбы,889,Psc,Андромеда
http://www.wikidata.org/entity/Q8679,Рыбы,889,Psc,Треугольник
http://www.wikidata.org/entity/Q8679,Рыбы,889,Psc,Водолей
http://www.wikidata.org/entity/Q8679,Рыбы,889,Psc,Овен
http://www.wikidata.org/entity/Q8832,Жираф,757,Cam,Дракон
http://www.wikidata.org/entity/Q8832,Жираф,757,Cam,Большая Медведица
http://www.wikidata.org/entity/Q8832,Жираф,757,Cam,Рысь
http://www.wikidata.org/entity/Q8832,Жираф,757,Cam,Кассиопея
http://www.wikidata.org/entity/Q8832,Жираф,757,Cam,Цефей
http://www.wikidata.org/entity/Q8832,Жираф,757,Cam,Возничий
http://www.wikidata.org/entity/Q8832,Жираф,757,Cam,Малая Медведица
http://www.wikidata.org/entity/Q8832,Жираф,757,Cam,Персей
http://www.wikidata.org/entity/Q8837,Золотая Рыба,179,Dor,Столовая Гора
http://www.wikidata.org/entity/Q8837,Золотая Рыба,179,Dor,Южная Гидра
http://www.wikidata.org/entity/Q8837,Золотая Рыба,179,Dor,Летучая Рыба
http://www.wikidata.org/entity/Q8837,Золотая Рыба,179,Dor,Живописец
http://www.wikidata.org/entity/Q8837,Золотая Рыба,179,Dor,Резец
http://www.wikidata.org/entity/Q8837,Золотая Рыба,179,Dor,Сетка
http://www.wikidata.org/entity/Q8837,Золотая Рыба,179,Dor,Часы
http://www.wikidata.org/entity/Q8839,Кит,1231,Cet,Рыбы
http://www.wikidata.org/entity/Q8839,Кит,1231,Cet,Печь
http://www.wikidata.org/entity/Q8839,Кит,1231,Cet,Скульптор
http://www.wikidata.org/entity/Q8839,Кит,1231,Cet,Эридан
http://www.wikidata.org/entity/Q8839,Кит,1231,Cet,Телец
http://www.wikidata.org/entity/Q8839,Кит,1231,Cet,Водолей
http://www.wikidata.org/entity/Q8839,Кит,1231,Cet,Овен
http://www.wikidata.org/entity/Q8842,Дева,1294,Vir,Волопас
http://www.wikidata.org/entity/Q8842,Дева,1294,Vir,Лев
http://www.wikidata.org/entity/Q8842,Дева,1294,Vir,Змея
http://www.wikidata.org/entity/Q8842,Дева,1294,Vir,Чаша
http://www.wikidata.org/entity/Q8842,Дева,1294,Vir,Волосы Вероники
http://www.wikidata.org/entity/Q8842,Дева,1294,Vir,Ворон
http://www.wikidata.org/entity/Q8842,Дева,1294,Vir,Гидра
http://www.wikidata.org/entity/Q8842,Дева,1294,Vir,Весы
http://www.wikidata.org/entity/Q8844,Центавр,1060,Cen,Муха
http://www.wikidata.org/entity/Q8844,Центавр,1060,Cen,Киль
http://www.wikidata.org/entity/Q8844,Центавр,1060,Cen,Насос
http://www.wikidata.org/entity/Q8844,Центавр,1060,Cen,Циркуль
http://www.wikidata.org/entity/Q8844,Центавр,1060,Cen,Паруса
http://www.wikidata.org/entity/Q8844,Центавр,1060,Cen,Южный Крест
http://www.wikidata.org/entity/Q8844,Центавр,1060,Cen,Волк
http://www.wikidata.org/entity/Q8844,Центавр,1060,Cen,Гидра
http://www.wikidata.org/entity/Q8844,Центавр,1060,Cen,Весы
http://www.wikidata.org/entity/Q8853,Лев,947,Leo,Дева
http://www.wikidata.org/entity/Q8853,Лев,947,Leo,Рак
http://www.wikidata.org/entity/Q8853,Лев,947,Leo,Большая Медведица
http://www.wikidata.org/entity/Q8853,Лев,947,Leo,Чаша
http://www.wikidata.org/entity/Q8853,Лев,947,Leo,Волосы Вероники
http://www.wikidata.org/entity/Q8853,Лев,947,Leo,Малый Лев
http://www.wikidata.org/entity/Q8853,Лев,947,Leo,Рысь
http://www.wikidata.org/entity/Q8853,Лев,947,Leo,Секстант
http://www.wikidata.org/entity/Q8853,Лев,947,Leo,Гидра
http://www.wikidata.org/entity/Q8860,Орион,594,Ori,Близнецы
http://www.wikidata.org/entity/Q8860,Орион,594,Ori,Единорог
http://www.wikidata.org/entity/Q8860,Орион,594,Ori,Эридан
http://www.wikidata.org/entity/Q8860,Орион,594,Ori,Заяц
http://www.wikidata.org/entity/Q8860,Орион,594,Ori,Телец
http://www.wikidata.org/entity/Q8864,Пегас,1121,Peg,Рыбы
http://www.wikidata.org/entity/Q8864,Пегас,1121,Peg,Лебедь
http://www.wikidata.org/entity/Q8864,Пегас,1121,Peg,Андромеда
http://www.wikidata.org/entity/Q8864,Пегас,1121,Peg,Дельфин
http://www.wikidata.org/entity/Q8864,Пегас,1121,Peg,Ящерица
