star,starLabel,constellation
http://www.wikidata.org/entity/Q1040290,HD 40979,http://www.wikidata.org/entity/Q1065564
http://www.wikidata.org/entity/Q1042571,Q1042571,http://www.wikidata.org/entity/Q1200684
http://www.wikidata.org/entity/Q1042571,Q1042571,http://www.wikidata.org/entity/Q67622925
http://www.wikidata.org/entity/Q1042571,Q1042571,http://www.wikidata.org/entity/Q67624654
http://www.wikidata.org/entity/Q1042571,Q1042571,http://www.wikidata.org/entity/Q67792902
http://www.wikidata.org/entity/Q1042571,Q1042571,http://www.wikidata.org/entity/Q67796315
http://www.wikidata.org/entity/Q1044082,V429 Близнецов,http://www.wikidata.org/entity/Q94879
http://www.wikidata.org/entity/Q1044082,V429 Близнецов,http://www.wikidata.org/entity/Q2253769
http://www.wikidata.org/entity/Q1049627,19 Кормы,http://www.wikidata.org/entity/Q77519232
http://www.wikidata.org/entity/Q1050115,Q1050115,http://www.wikidata.org/entity/Q13760
http://www.wikidata.org/entity/Q1062596,Звезда Лейтена,http://www.wikidata.org/entity/Q329182
http://www.wikidata.org/entity/Q1067593,Змееносца 162225-240515,http://www.wikidata.org/entity/Q67856751
http://www.wikidata.org/entity/Q1068388,дзета Змееносца,http://www.wikidata.org/entity/Q10939524
http://www.wikidata.org/entity/Q1077183,LH54-425,http://www.wikidata.org/entity/Q49957
http://www.wikidata.org/entity/Q1077192,эпсилон Сетки A,http://www.wikidata.org/entity/Q93289928
http://www.wikidata.org/entity/Q1077664,Q1077664,http://www.wikidata.org/entity/Q329182
http://www.wikidata.org/entity/Q1077670,йота Часов,http://www.wikidata.org/entity/Q1065564
http://www.wikidata.org/entity/Q1082845,R136b,http://www.wikidata.org/entity/Q5116
http://www.wikidata.org/entity/Q1090392,Q1090392,http://www.wikidata.org/entity/Q595119
http://www.wikidata.org/entity/Q1096776,59 Стрельца,http://www.wikidata.org/entity/Q973770
http://www.wikidata.org/entity/Q1096786,60 Стрельца,http://www.wikidata.org/entity/Q973770
http://www.wikidata.org/entity/Q1107684,26 Возничего,http://www.wikidata.org/entity/Q79282708
http://www.wikidata.org/entity/Q1109510,Q1109510,http://www.wikidata.org/entity/Q67790491
http://www.wikidata.org/entity/Q1109510,Q1109510,http://www.wikidata.org/entity/Q67796234
http://www.wikidata.org/entity/Q1140856,Q1140856,http://www.wikidata.org/entity/Q76868335
http://www.wikidata.org/entity/Q1141712,Огма,http://www.wikidata.org/entity/Q1065564
http://www.wikidata.org/entity/Q1143187,AX Микроскопа,http://www.wikidata.org/entity/Q329182
http://www.wikidata.org/entity/Q1144120,HD 8673,http://www.wikidata.org/entity/Q136514020
http://www.wikidata.org/entity/Q1148457,HD 4113 A,http://www.wikidata.org/entity/Q45849235
http://www.wikidata.org/entity/Q1148522,Q1148522,http://www.wikidata.org/entity/Q67624345
http://www.wikidata.org/entity/Q1148850,Q1148850,http://www.wikidata.org/entity/Q67624373
http://www.wikidata.org/entity/Q1148857,Q1148857,http://www.wikidata.org/entity/Q67624375
http://www.wikidata.org/entity/Q1149521,Глизе 9066,http://www.wikidata.org/entity/Q329182
http://www.wikidata.org/entity/Q1150298,Q1150298,http://www.wikidata.org/entity/Q67622699
http://www.wikidata.org/entity/Q1150298,Q1150298,http://www.wikidata.org/entity/Q67624475
http://www.wikidata.org/entity/Q1150298,Q1150298,http://www.wikidata.org/entity/Q67793974
http://www.wikidata.org/entity/Q1150298,Q1150298,http://www.wikidata.org/entity/Q67795946
http://www.wikidata.org/entity/Q1150389,Альфа Волос Вероники,http://www.wikidata.org/entity/Q10941555
http://www.wikidata.org/entity/Q1153018,DEN 0255-4700,http://www.wikidata.org/entity/Q329182
http://www.wikidata.org/entity/Q1153662,Q1153662,http://www.wikidata.org/entity/Q75047874
http://www.wikidata.org/entity/Q1154077,Глизе 1,http://www.wikidata.org/entity/Q329182
http://www.wikidata.org/entity/Q1154120,Крюгер 60,http://www.wikidata.org/entity/Q329182
