star,starLabel,constellation,constellationLabel,starType,starTypeLabel
http://www.wikidata.org/entity/Q81608855,Q81608855,http://www.wikidata.org/entity/Q622789,Barnard's galaxy,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q81609006,Q81609006,http://www.wikidata.org/entity/Q622789,Barnard's galaxy,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q81607958,Q81607958,http://www.wikidata.org/entity/Q622789,Barnard's galaxy,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q81606304,Q81606304,http://www.wikidata.org/entity/Q622789,Barnard's galaxy,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q79639838,Q79639838,http://www.wikidata.org/entity/Q49984,Малое Магелланово Облако,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q81607146,Q81607146,http://www.wikidata.org/entity/Q1155745,Wolf-Lundmark-Melotte,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q81604511,Q81604511,http://www.wikidata.org/entity/Q622789,Barnard's galaxy,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q81604509,Q81604509,http://www.wikidata.org/entity/Q622789,Barnard's galaxy,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q81941484,Q81941484,http://www.wikidata.org/entity/Q67631058,Q67631058,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q81604361,Q81604361,http://www.wikidata.org/entity/Q622789,Barnard's galaxy,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q81606012,Q81606012,http://www.wikidata.org/entity/Q622789,Barnard's galaxy,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q81607968,Q81607968,http://www.wikidata.org/entity/Q622789,Barnard's galaxy,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q81606774,Q81606774,http://www.wikidata.org/entity/Q622789,Barnard's galaxy,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q81607679,Q81607679,http://www.wikidata.org/entity/Q622789,Barnard's galaxy,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q81606477,Q81606477,http://www.wikidata.org/entity/Q622789,Barnard's galaxy,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q81605877,Q81605877,http://www.wikidata.org/entity/Q622789,Barnard's galaxy,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q79640611,Q79640611,http://www.wikidata.org/entity/Q49984,Малое Магелланово Облако,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q79631463,Q79631463,http://www.wikidata.org/entity/Q49984,Малое Магелланово Облако,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q81604386,Q81604386,http://www.wikidata.org/entity/Q622789,Barnard's galaxy,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q79637312,Q79637312,http://www.wikidata.org/entity/Q49984,Малое Магелланово Облако,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q81608520,Q81608520,http://www.wikidata.org/entity/Q1155745,Wolf-Lundmark-Melotte,http://www.wikidata.org/entity/Q5898,красный сверхгигант
http://www.wikidata.org/entity/Q83190324,Q83190324,http://www.wikidata.org/entity/Q2469,Галактика Андромеды,http://www.wikidata.org/entity/Q5898,красный сверхгигант
