star,starLabel,constellation,constellationLabel,starTypeLabel
http://www.wikidata.org/entity/Q79627371,PMMR 179,http://www.wikidata.org/entity/Q49984,Малое Магелланово Облако,красный сверхгигант
http://www.wikidata.org/entity/Q79631463,PMMR 94,http://www.wikidata.org/entity/Q49984,Малое Магелланово Облако,красный сверхгигант
http://www.wikidata.org/entity/Q79632425,SkKM 185,http://www.wikidata.org/entity/Q49984,Малое Магелланово Облако,красный сверхгигант
http://www.wikidata.org/entity/Q79633929,PMMR 48,http://www.wikidata.org/entity/Q49984,Малое Магелланово Облако,красный сверхгигант
http://www.wikidata.org/entity/Q79635679,PMMR 47,http://www.wikidata.org/entity/Q49984,Малое Магелланово Облако,красный сверхгигант
http://www.wikidata.org/entity/Q79637312,Cl* NGC 371 LE C12,http://www.wikidata.org/entity/Q49984,Малое Магелланово Облако,красный сверхгигант
http://www.wikidata.org/entity/Q79637312,Cl* NGC 371 LE C12,http://www.wikidata.org/entity/Q650713,NGC 371,красный сверхгигант
http://www.wikidata.org/entity/Q79639838,PMMR 138,http://www.wikidata.org/entity/Q49984,Малое Магелланово Облако,красный сверхгигант
http://www.wikidata.org/entity/Q79640611,SV* HV 11402,http://www.wikidata.org/entity/Q49984,Малое Магелланово Облако,красный сверхгигант
http://www.wikidata.org/entity/Q79641124,PMMR 50,http://www.wikidata.org/entity/Q49984,Малое Магелланово Облако,красный сверхгигант
http://www.wikidata.org/entity/Q80016805,[MSC2015] VC 3,http://www.wikidata.org/entity/Q13724,галактика Треугольника,красный сверхгигант
http://www.wikidata.org/entity/Q80016817,[MSC2015] VC 2,http://www.wikidata.org/entity/Q13724,галактика Треугольника,красный сверхгигант
http://www.wikidata.org/entity/Q80016828,[MSC2015] VC 17,http://www.wikidata.org/entity/Q13724,галактика Треугольника,красный сверхгигант
http://www.wikidata.org/entity/Q80016845,[MSC2015] VC 4,http://www.wikidata.org/entity/Q13724,галактика Треугольника,красный сверхгигант
