volcano,volcanoLabel,elevation,country,countryLabel,coord,mountainRange,mountainRangeLabel
http://www.wikidata.org/entity/Q499164,Гора Аскрийская,18225,,,<http://www.wikidata.org/entity/Q111> Point(255.92 11.92),,
http://www.wikidata.org/entity/Q2065108,Mount Tehama,9239,http://www.wikidata.org/entity/Q30,США,Point(-121.559427777 40.445436111),http://www.wikidata.org/entity/Q27966614,California Cascades
http://www.wikidata.org/entity/Q3467801,Hayes Volcano,9147,http://www.wikidata.org/entity/Q30,США,Point(-152.411 61.6403),http://www.wikidata.org/entity/Q828541,Tordrillo Mountains
http://www.wikidata.org/entity/Q12763846,Cerro Nicholson,8282,http://www.wikidata.org/entity/Q419,Перу,Point(-71.73 -16.260556),,
http://www.wikidata.org/entity/Q955807,Isanotski Peaks,8106,http://www.wikidata.org/entity/Q30,США,Point(-163.729 54.7686),http://www.wikidata.org/entity/Q678687,Алеутский хребет
http://www.wikidata.org/entity/Q8553599,Medicine Lake Volcano,7921,http://www.wikidata.org/entity/Q30,США,Point(-121.599530555 41.582525),http://www.wikidata.org/entity/Q27966614,California Cascades
http://www.wikidata.org/entity/Q3467797,Mount Denison,7606,http://www.wikidata.org/entity/Q30,США,Point(-154.45077896 58.417331),http://www.wikidata.org/entity/Q678687,Алеутский хребет
http://www.wikidata.org/entity/Q3467894,Mount Steller,7454,http://www.wikidata.org/entity/Q30,США,Point(-154.391 58.4297),http://www.wikidata.org/entity/Q678687,Алеутский хребет
http://www.wikidata.org/entity/Q7548743,Snowy Mountain,7093,http://www.wikidata.org/entity/Q30,США,Point(-154.682 58.336),,
http://www.wikidata.org/entity/Q7155958,Pavlof Sister,7027,http://www.wikidata.org/entity/Q30,США,Point(-161.854 55.4575),http://www.wikidata.org/entity/Q678687,Алеутский хребет
http://www.wikidata.org/entity/Q7395365,S P Crater,7021,http://www.wikidata.org/entity/Q30,США,Point(-111.629322222 35.582225),,
http://www.wikidata.org/entity/Q1058950,Фопикд,6903,http://www.wikidata.org/entity/Q30,США,Point(-153.671944444 58.77),http://www.wikidata.org/entity/Q678687,Алеутский хребет
http://www.wikidata.org/entity/Q5299483,Dotsero,6783,http://www.wikidata.org/entity/Q30,США,Point(-107.035 39.6606),,
http://www.wikidata.org/entity/Q214916,Льюльяйльяко,6723,http://www.wikidata.org/entity/Q298,Чили,Point(-68.536666666 -24.719722222),http://www.wikidata.org/entity/Q5456,Анды
http://www.wikidata.org/entity/Q214916,Льюльяйльяко,6723,http://www.wikidata.org/entity/Q414,Аргентина,Point(-68.536666666 -24.719722222),http://www.wikidata.org/entity/Q5456,Анды
http://www.wikidata.org/entity/Q3467803,Mount Kukak,6703,http://www.wikidata.org/entity/Q30,США,Point(-154.35735226 58.452368),http://www.wikidata.org/entity/Q678687,Алеутский хребет
http://www.wikidata.org/entity/Q422807,Типас,6658,http://www.wikidata.org/entity/Q414,Аргентина,Point(-68.55 -27.2),http://www.wikidata.org/entity/Q5456,Анды
http://www.wikidata.org/entity/Q28827904,Nevado Tres Cruces Central,6629,http://www.wikidata.org/entity/Q298,Чили,Point(-68.786472222 -27.068638888),http://www.wikidata.org/entity/Q5456,Анды
http://www.wikidata.org/entity/Q1478849,Инкауаси,6621,http://www.wikidata.org/entity/Q298,Чили,Point(-68.3 -27.033333333),http://www.wikidata.org/entity/Q5456,Анды
http://www.wikidata.org/entity/Q1478849,Инкауаси,6621,http://www.wikidata.org/entity/Q414,Аргентина,Point(-68.3 -27.033333333),http://www.wikidata.org/entity/Q5456,Анды
http://www.wikidata.org/entity/Q1324394,Серро-Эль-Муэрто,6542,http://www.wikidata.org/entity/Q298,Чили,Point(-68.483888888 -27.0575),http://www.wikidata.org/entity/Q5456,Анды
http://www.wikidata.org/entity/Q1324394,Серро-Эль-Муэрто,6542,http://www.wikidata.org/entity/Q414,Аргентина,Point(-68.483888888 -27.0575),http://www.wikidata.org/entity/Q5456,Анды
http://www.wikidata.org/entity/Q3468036,Pogromni Volcano,6531,http://www.wikidata.org/entity/Q30,США,Point(-164.698 54.5689),http://www.wikidata.org/entity/Q678687,Алеутский хребет
http://www.wikidata.org/entity/Q2868734,Ata volcano,6501,http://www.wikidata.org/entity/Q298,Чили,Point(-68.5762 -27.1819),http://www.wikidata.org/entity/Q5456,Анды
http://www.wikidata.org/entity/Q2868734,Ata volcano,6501,http://www.wikidata.org/entity/Q414,Аргентина,Point(-68.5762 -27.1819),http://www.wikidata.org/entity/Q5456,Анды
http://www.wikidata.org/entity/Q5065021,Cerro del Nacimiento,6436,http://www.wikidata.org/entity/Q414,Аргентина,Point(-68.5247 -27.2783),http://www.wikidata.org/entity/Q5456,Анды
http://www.wikidata.org/entity/Q5065021,Cerro del Nacimiento,6436,http://www.wikidata.org/entity/Q414,Аргентина,Point(-68.5125 -27.280555555),http://www.wikidata.org/entity/Q5456,Анды
http://www.wikidata.org/entity/Q5065021,Cerro del Nacimiento,6436,http://www.wikidata.org/entity/Q414,Аргентина,Point(-68.561 -27.1957),http://www.wikidata.org/entity/Q5456,Анды
http://www.wikidata.org/entity/Q312866,Антофалья,6409,http://www.wikidata.org/entity/Q414,Аргентина,Point(-67.880833333 -25.5625),http://www.wikidata.org/entity/Q5456,Анды
http://www.wikidata.org/entity/Q255010,Паринакота,6348,http://www.wikidata.org/entity/Q298,Чили,Point(-69.141611111 -18.165752777),http://www.wikidata.org/entity/Q1132259,Западная Кордильера Анд
http://www.wikidata.org/entity/Q255010,Паринакота,6348,http://www.wikidata.org/entity/Q750,Боливия,Point(-69.141611111 -18.165752777),http://www.wikidata.org/entity/Q1132259,Западная Кордильера Анд
http://www.wikidata.org/entity/Q422737,Померапе,6282,http://www.wikidata.org/entity/Q298,Чили,Point(-69.126719444 -18.126275),http://www.wikidata.org/entity/Q1132259,Западная Кордильера Анд
http://www.wikidata.org/entity/Q422737,Померапе,6282,http://www.wikidata.org/entity/Q750,Боливия,Point(-69.126719444 -18.126275),http://www.wikidata.org/entity/Q1132259,Западная Кордильера Анд
http://www.wikidata.org/entity/Q2622322,Волкан-де-лос-Патос,6239,http://www.wikidata.org/entity/Q298,Чили,Point(-68.808888888 -27.301111111),http://www.wikidata.org/entity/Q5456,Анды
http://www.wikidata.org/entity/Q2622322,Волкан-де-лос-Патос,6239,http://www.wikidata.org/entity/Q414,Аргентина,Point(-68.808888888 -27.301111111),http://www.wikidata.org/entity/Q5456,Анды
http://www.wikidata.org/entity/Q3116451,Пулар (вулкан),6233,http://www.wikidata.org/entity/Q298,Чили,Point(-68.0665 -24.2005),http://www.wikidata.org/entity/Q5456,Анды
http://www.wikidata.org/entity/Q577482,Серро-Соло,6190,http://www.wikidata.org/entity/Q298,Чили,Point(-68.716666666 -27.108333333),http://www.wikidata.org/entity/Q5456,Анды
http://www.wikidata.org/entity/Q577482,Серро-Соло,6190,http://www.wikidata.org/entity/Q414,Аргентина,Point(-68.716666666 -27.108333333),http://www.wikidata.org/entity/Q5456,Анды
http://www.wikidata.org/entity/Q758574,Ауканкильча,6176,http://www.wikidata.org/entity/Q298,Чили,Point(-68.468333333 -21.220833333),http://www.wikidata.org/entity/Q5456,Анды
http://www.wikidata.org/entity/Q5351239,El Ermitaño,6146,http://www.wikidata.org/entity/Q298,Чили,Point(-68.603333333 -26.786944444),http://www.wikidata.org/entity/Q5456,Анды
http://www.wikidata.org/entity/Q2742687,Сан-Педро,6145,http://www.wikidata.org/entity/Q298,Чили,Point(-68.391388888 -21.887777777),http://www.wikidata.org/entity/Q1132259,Западная Кордильера Анд
http://www.wikidata.org/entity/Q1535333,Мармолехо,6108,http://www.wikidata.org/entity/Q298,Чили,Point(-69.864514 -33.717129),http://www.wikidata.org/entity/Q5456,Анды
http://www.wikidata.org/entity/Q1535333,Мармолехо,6108,http://www.wikidata.org/entity/Q414,Аргентина,Point(-69.864514 -33.717129),http://www.wikidata.org/entity/Q5456,Анды
http://www.wikidata.org/entity/Q7415041,San Pablo,6092,http://www.wikidata.org/entity/Q298,Чили,Point(-68.3425 -21.883888888),http://www.wikidata.org/entity/Q5456,Анды
http://www.wikidata.org/entity/Q312862,Аракар,6082,http://www.wikidata.org/entity/Q414,Аргентина,Point(-67.7833 -24.29),http://www.wikidata.org/entity/Q5456,Анды
http://www.wikidata.org/entity/Q252081,Гуальятири,6071,http://www.wikidata.org/entity/Q298,Чили,Point(-69.089722222 -18.423611111),http://www.wikidata.org/entity/Q1132259,Западная Кордильера Анд
http://www.wikidata.org/entity/Q422765,Сокомпа,6051,http://www.wikidata.org/entity/Q298,Чили,Point(-68.256111111 -24.393333333),http://www.wikidata.org/entity/Q5456,Анды
http://www.wikidata.org/entity/Q422765,Сокомпа,6051,http://www.wikidata.org/entity/Q414,Аргентина,Point(-68.256111111 -24.393333333),http://www.wikidata.org/entity/Q5456,Анды
http://www.wikidata.org/entity/Q337644,Акамарачи,6046,http://www.wikidata.org/entity/Q298,Чили,Point(-67.617222222 -23.295833333),http://www.wikidata.org/entity/Q5456,Анды
http://www.wikidata.org/entity/Q337644,Акамарачи,6023,http://www.wikidata.org/entity/Q298,Чили,Point(-67.617222222 -23.295833333),http://www.wikidata.org/entity/Q5456,Анды
http://www.wikidata.org/entity/Q7128689,Palpana,6023,http://www.wikidata.org/entity/Q298,Чили,Point(-68.5225 -21.546666666),http://www.wikidata.org/entity/Q5456,Анды
http://www.wikidata.org/entity/Q7128689,Palpana,6023,http://www.wikidata.org/entity/Q298,Чили,Point(-68.5227 -21.5464),http://www.wikidata.org/entity/Q5456,Анды
http://www.wikidata.org/entity/Q2895004,Salín,6022,http://www.wikidata.org/entity/Q414,Аргентина,Point(-68.0639 -24.3317),http://www.wikidata.org/entity/Q5456,Анды
http://www.wikidata.org/entity/Q1769276,Невадо-Сан-Франциско,6016,http://www.wikidata.org/entity/Q298,Чили,Point(-68.263055555 -26.918333333),http://www.wikidata.org/entity/Q5456,Анды
http://www.wikidata.org/entity/Q1769276,Невадо-Сан-Франциско,6016,http://www.wikidata.org/entity/Q414,Аргентина,Point(-68.263055555 -26.918333333),http://www.wikidata.org/entity/Q5456,Анды
http://www.wikidata.org/entity/Q1552026,Такора,5988,http://www.wikidata.org/entity/Q298,Чили,Point(-69.766666666 -17.716666666),http://www.wikidata.org/entity/Q8463325,Cordillera Occidental
http://www.wikidata.org/entity/Q1552026,Такора,5980,http://www.wikidata.org/entity/Q298,Чили,Point(-69.766666666 -17.716666666),http://www.wikidata.org/entity/Q8463325,Cordillera Occidental
http://www.wikidata.org/entity/Q1552026,Такора,5960,http://www.wikidata.org/entity/Q298,Чили,Point(-69.766666666 -17.716666666),http://www.wikidata.org/entity/Q8463325,Cordillera Occidental
http://www.wikidata.org/entity/Q2827325,Агуас-Кальентес (вулкан),5924,http://www.wikidata.org/entity/Q298,Чили,Point(-67.685 -23.368333333),http://www.wikidata.org/entity/Q5456,Анды
http://www.wikidata.org/entity/Q3411049,Путана,5890,http://www.wikidata.org/entity/Q298,Чили,Point(-67.852834 -22.557302),http://www.wikidata.org/entity/Q1132259,Западная Кордильера Анд
http://www.wikidata.org/entity/Q3411049,Путана,5890,http://www.wikidata.org/entity/Q750,Боливия,Point(-67.852834 -22.557302),http://www.wikidata.org/entity/Q1132259,Западная Кордильера Анд
http://www.wikidata.org/entity/Q3411049,Путана,5884,http://www.wikidata.org/entity/Q298,Чили,Point(-67.852834 -22.557302),http://www.wikidata.org/entity/Q1132259,Западная Кордильера Анд
http://www.wikidata.org/entity/Q3411049,Путана,5884,http://www.wikidata.org/entity/Q750,Боливия,Point(-67.852834 -22.557302),http://www.wikidata.org/entity/Q1132259,Западная Кордильера Анд
http://www.wikidata.org/entity/Q22428713,Volcan Puntas Negras,5884,http://www.wikidata.org/entity/Q298,Чили,Point(-67.5401 -23.7455),,
http://www.wikidata.org/entity/Q931485,Таапака,5860,http://www.wikidata.org/entity/Q298,Чили,Point(-69.5075 -18.112777777),http://www.wikidata.org/entity/Q1132259,Западная Кордильера Анд
http://www.wikidata.org/entity/Q2467823,Сан-Хосе,5856,http://www.wikidata.org/entity/Q298,Чили,Point(-69.897222222 -33.781666666),http://www.wikidata.org/entity/Q5456,Анды
http://www.wikidata.org/entity/Q2467823,Сан-Хосе,5856,http://www.wikidata.org/entity/Q414,Аргентина,Point(-69.897222222 -33.781666666),http://www.wikidata.org/entity/Q5456,Анды
http://www.wikidata.org/entity/Q13189104,Q13189104,5852,http://www.wikidata.org/entity/Q419,Перу,Point(-69.380035 -14.613485),http://www.wikidata.org/entity/Q5456,Анды
http://www.wikidata.org/entity/Q30624023,Pastos Grandes,5802,http://www.wikidata.org/entity/Q750,Боливия,Point(-67.833333333 -21.75),http://www.wikidata.org/entity/Q5456,Анды
http://www.wikidata.org/entity/Q1089657,Чупикинья,5789,http://www.wikidata.org/entity/Q298,Чили,Point(-69.8 -17.666666666),http://www.wikidata.org/entity/Q8463325,Cordillera Occidental
